Simulated,Recovered,MLCorr
1,1,0.840766294480291
1,2,-0.141093246248853
1,3,-0.107350068134854
2,1,-0.063310733183401
2,2,0.874193507330996
2,3,-0.123485598525968
3,1,-0.131203830559519
3,2,0.160305783444756
3,3,0.756353451273072
